route,stop,hour,crowd_level
Alif Paribahan,Shyamoli,6,LOW
Alif Paribahan,Shyamoli,6,LOW
Alif Paribahan,Shyamoli,6,LOW
Alif Paribahan,Shyamoli,6,LOW
Alif Paribahan,Shyamoli,6,LOW
Alif Paribahan,Shyamoli,7,HIGH
Alif Paribahan,Shyamoli,7,HIGH
Alif Paribahan,Shyamoli,7,HIGH
Alif Paribahan,Shyamoli,7,HIGH
Alif Paribahan,Shyamoli,7,HIGH
Alif Paribahan,Shyamoli,8,HIGH
Alif Paribahan,Shyamoli,8,HIGH
Alif Paribahan,Shyamoli,8,HIGH
Alif Paribahan,Shyamoli,8,HIGH
Alif Paribahan,Shyamoli,8,HIGH
Alif Paribahan,Shyamoli,9,HIGH
Alif Paribahan,Shyamoli,9,HIGH
Alif Paribahan,Shyamoli,9,HIGH
Alif Paribahan,Shyamoli,9,HIGH
Alif Paribahan,Shyamoli,9,HIGH
Alif Paribahan,Shyamoli,10,HIGH
Alif Paribahan,Shyamoli,10,HIGH
Alif Paribahan,Shyamoli,10,HIGH
Alif Paribahan,Shyamoli,10,HIGH
Alif Paribahan,Shyamoli,10,HIGH
Alif Paribahan,Shyamoli,11,MEDIUM
Alif Paribahan,Shyamoli,11,MEDIUM
Alif Paribahan,Shyamoli,11,MEDIUM
Alif Paribahan,Shyamoli,11,MEDIUM
Alif Paribahan,Shyamoli,11,MEDIUM
Alif Paribahan,Shyamoli,12,MEDIUM
Alif Paribahan,Shyamoli,12,MEDIUM
Alif Paribahan,Shyamoli,12,MEDIUM
Alif Paribahan,Shyamoli,12,MEDIUM
Alif Paribahan,Shyamoli,12,MEDIUM
Alif Paribahan,Shyamoli,13,MEDIUM
Alif Paribahan,Shyamoli,13,MEDIUM
Alif Paribahan,Shyamoli,13,MEDIUM
Alif Paribahan,Shyamoli,13,MEDIUM
Alif Paribahan,Shyamoli,13,MEDIUM
Alif Paribahan,Shyamoli,14,MEDIUM
Alif Paribahan,Shyamoli,14,MEDIUM
Alif Paribahan,Shyamoli,14,MEDIUM
Alif Paribahan,Shyamoli,14,MEDIUM
Alif Paribahan,Shyamoli,14,MEDIUM
Alif Paribahan,Shyamoli,15,MEDIUM
Alif Paribahan,Shyamoli,15,MEDIUM
Alif Paribahan,Shyamoli,15,MEDIUM
Alif Paribahan,Shyamoli,15,MEDIUM
