route,from_stop,to_stop,hour,traffic_level,travel_time
Alif Paribahan,Shyamoli,Agargaon,6,LOW,7
Alif Paribahan,Shyamoli,Agargaon,6,LOW,7
Alif Paribahan,Shyamoli,Agargaon,6,LOW,4
Alif Paribahan,Shyamoli,Agargaon,6,LOW,4
Alif Paribahan,Shyamoli,Agargaon,6,LOW,7
Alif Paribahan,Shyamoli,Agargaon,7,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,7,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,7,HIGH,7
Alif Paribahan,Shyamoli,Agargaon,7,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,7,HIGH,7
Alif Paribahan,Shyamoli,Agargaon,8,HIGH,8
Alif Paribahan,Shyamoli,Agargaon,8,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,8,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,8,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,8,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,9,HIGH,7
Alif Paribahan,Shyamoli,Agargaon,9,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,9,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,9,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,9,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,10,HIGH,8
Alif Paribahan,Shyamoli,Agargaon,10,HIGH,6
Alif Paribahan,Shyamoli,Agargaon,10,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,10,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,10,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,11,MEDIUM,6
Alif Paribahan,Shyamoli,Agargaon,11,MEDIUM,7
Alif Paribahan,Shyamoli,Agargaon,11,MEDIUM,5
Alif Paribahan,Shyamoli,Agargaon,11,MEDIUM,5
Alif Paribahan,Shyamoli,Agargaon,11,MEDIUM,5
Alif Paribahan,Shyamoli,Agargaon,12,MEDIUM,4
Alif Paribahan,Shyamoli,Agargaon,12,MEDIUM,4
Alif Paribahan,Shyamoli,Agargaon,12,MEDIUM,6
Alif Paribahan,Shyamoli,Agargaon,12,MEDIUM,8
Alif Paribahan,Shyamoli,Agargaon,12,MEDIUM,4
Alif Paribahan,Shyamoli,Agargaon,13,MEDIUM,5
Alif Paribahan,Shyamoli,Agargaon,13,MEDIUM,8
Alif Paribahan,Shyamoli,Agargaon,13,MEDIUM,4
Alif Paribahan,Shyamoli,Agargaon,13,MEDIUM,8
Alif Paribahan,Shyamoli,Agargaon,13,MEDIUM,4
Alif Paribahan,Shyamoli,Agargaon,14,MEDIUM,5
Alif Paribahan,Shyamoli,Agargaon,14,MEDIUM,6
Alif Paribahan,Shyamoli,Agargaon,14,MEDIUM,5
Alif Paribahan,Shyamoli,Agargaon,14,MEDIUM,5
Alif Paribahan,Shyamoli,Agargaon,14,MEDIUM,4
Alif Paribahan,Shyamoli,Agargaon,15,MEDIUM,6
Alif Paribahan,Shyamoli,Agargaon,15,MEDIUM,5
Alif Paribahan,Shyamoli,Agargaon,15,MEDIUM,5
Alif Paribahan,Shyamoli,Agargaon,15,MEDIUM,7
Alif Paribahan,Shyamoli,Agargaon,15,MEDIUM,8
Alif Paribahan,Shyamoli,Agargaon,16,MEDIUM,4
Alif Paribahan,Shyamoli,Agargaon,16,MEDIUM,4
Alif Paribahan,Shyamoli,Agargaon,16,MEDIUM,7
Alif Paribahan,Shyamoli,Agargaon,16,MEDIUM,8
Alif Paribahan,Shyamoli,Agargaon,16,MEDIUM,7
Alif Paribahan,Shyamoli,Agargaon,17,HIGH,11
Alif Paribahan,Shyamoli,Agargaon,17,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,17,HIGH,8
Alif Paribahan,Shyamoli,Agargaon,17,HIGH,8
Alif Paribahan,Shyamoli,Agargaon,17,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,18,HIGH,7
Alif Paribahan,Shyamoli,Agargaon,18,HIGH,8
Alif Paribahan,Shyamoli,Agargaon,18,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,18,HIGH,11
Alif Paribahan,Shyamoli,Agargaon,18,HIGH,10
